[ 2014-10-24T09:59:44+08:00 ] /Member/add | NOTIC: [8] Undefined variable: row 869b486936896a297d7aa756df40d323.php 第 600 行.
[ 2014-10-24T09:59:44+08:00 ] /Member/add | NOTIC: [8] Undefined variable: info 869b486936896a297d7aa756df40d323.php 第 655 行.
[ 2014-10-24T09:59:44+08:00 ] /Member/add | NOTIC: [8] Undefined variable: info 869b486936896a297d7aa756df40d323.php 第 655 行.
[ 2014-10-24T09:59:44+08:00 ] /Member/add | NOTIC: [8] Undefined variable: info 869b486936896a297d7aa756df40d323.php 第 655 行.
[ 2014-10-24T09:59:44+08:00 ] /Member/add | NOTIC: [8] Undefined variable: extend 869b486936896a297d7aa756df40d323.php 第 674 行.
[ 2014-10-24T09:59:44+08:00 ] /Member/add | NOTIC: [8] Undefined variable: extend 869b486936896a297d7aa756df40d323.php 第 679 行.
[ 2014-10-24T09:59:44+08:00 ] /Member/add | NOTIC: [8] Undefined variable: extend 869b486936896a297d7aa756df40d323.php 第 684 行.
[ 2014-10-24T09:59:44+08:00 ] /Member/add | NOTIC: [8] Undefined variable: extend 869b486936896a297d7aa756df40d323.php 第 689 行.
[ 2014-10-24T09:59:44+08:00 ] /Member/add | NOTIC: [8] Undefined variable: extend 869b486936896a297d7aa756df40d323.php 第 694 行.
[ 2014-10-24T09:59:44+08:00 ] /Member/add | NOTIC: [8] Undefined variable: extend 869b486936896a297d7aa756df40d323.php 第 699 行.
[ 2014-10-24T09:59:44+08:00 ] /Member/add | NOTIC: [8] Undefined variable: extend 869b486936896a297d7aa756df40d323.php 第 704 行.
[ 2014-10-24T09:59:44+08:00 ] /Member/add | INFO: Run ParseTemplate Behavior [ RunTime:0.059133s ]
[ 2014-10-24T09:59:44+08:00 ] /Member/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.059214s ]
[ 2014-10-24T09:59:44+08:00 ] /Member/add | INFO: Tag[ view_filter ] --START--
